date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,tier,outcome_home,elo_home,elo_away,elo_diff
2000-02-09,Cayman Islands,Jamaica,0.0,1.0,Friendly,George Town,Cayman Islands,False,4,0.0,1500.0709155729462,1504.8571336099633,-4.786218037017079
2000-02-09,Chile,Australia,2.0,1.0,Friendly,Valparaíso,Chile,False,4,1.0,1485.1788576317736,1500.0,-14.821142368226447
2000-02-09,Honduras,El Salvador,5.0,1.0,Friendly,San Pedro Sula,Honduras,False,4,1.0,1500.0,1500.0,0.0
2000-02-10,Nigeria,South Africa,2.0,0.0,African Cup of Nations,Lagos,Nigeria,False,1,1.0,1574.1243472930696,1564.1524981146977,9.97184917837194
2000-02-10,Nepal,Yemen,0.0,3.0,AFC Asian Cup qualification,Kuwait City,Kuwait,True,2,0.0,1500.0,1500.0,0.0
2000-02-10,Malta,Albania,0.0,1.0,Malta International Tournament,Attard,Malta,False,0,0.0,1507.5,1500.0,7.5
2000-02-10,Kuwait,Turkmenistan,6.0,1.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False,2,1.0,1509.1692787790716,1500.0,9.169278779071647
2000-02-10,Hong Kong,Singapore,0.0,0.0,Friendly,Victoria,Hong Kong,False,4,0.5,1500.0,1507.5,-7.5
2000-02-10,Cameroon,Tunisia,3.0,0.0,African Cup of Nations,Accra,Ghana,True,1,1.0,1532.5720006731833,1520.4531644201288,12.118836253054496
2000-02-10,Andorra,Azerbaijan,0.0,0.0,Malta International Tournament,Attard,Malta,True,0,0.5,1500.0,1500.0,0.0
2000-02-12,Australia,Slovakia,0.0,0.0,Friendly,Valparaíso,Chile,True,4,0.5,1494.7868359027689,1495.0,-0.21316409723112884
2000-02-12,Chile,Bulgaria,3.0,2.0,Friendly,Valparaíso,Chile,False,4,1.0,1490.3920217290047,1505.0,-14.607978270995318
2000-02-12,Colombia,Jamaica,1.0,0.0,Gold Cup,Miami,United States,True,1,1.0,1500.0,1509.7882587523914,-9.788258752391357
2000-02-12,Nepal,Bhutan,3.0,0.0,AFC Asian Cup qualification,Kuwait City,Kuwait,True,2,1.0,1473.75,1500.0,-26.25
2000-02-12,South Africa,Tunisia,2.0,2.0,African Cup of Nations,Accra,Ghana,True,1,0.5,1535.0133004342304,1486.6734980572319,48.33980237699848
2000-02-12,United States,Haiti,3.0,0.0,Gold Cup,Miami,United States,False,1,1.0,1504.9290846383876,1500.0,4.9290846383876215
2000-02-12,Yemen,Turkmenistan,0.0,1.0,AFC Asian Cup qualification,Kuwait City,Kuwait,True,2,0.0,1526.25,1470.7915554091148,55.458444590885165
2000-02-13,Syria,North Korea,0.0,0.0,Friendly,Damascus,Syria,False,4,0.5,1500.2529081754253,1490.3720918245747,9.880816350850637
2000-02-13,Singapore,Japan,0.0,3.0,AFC Asian Cup qualification,Macau,Macau,True,2,0.0,1507.3920830858765,1500.0,7.392083085876493
2000-02-13,Nigeria,Cameroon,2.0,2.0,African Cup of Nations,Lagos,Nigeria,False,1,0.5,1603.263544973537,1566.3516670360802,36.911877937456666
2000-02-13,Dominican Republic,British Virgin Islands,1.0,0.0,Friendly,Santo Domingo,Dominican Republic,False,4,1.0,1500.0,1495.2797775146128,4.720222485387239
2000-02-13,Macau,Brunei,1.0,0.0,AFC Asian Cup qualification,Macau,Macau,False,2,1.0,1500.0,1500.0,0.0
2000-02-13,Costa Rica,Canada,2.0,2.0,Gold Cup,San Diego,United States,True,1,0.5,1509.7851970563327,1507.5,2.285197056332663
2000-02-13,Mexico,Trinidad and Tobago,4.0,0.0,Gold Cup,San Diego,United States,True,1,1.0,1505.0,1490.0719508170905,14.92804918290949
2000-02-14,Haiti,Peru,1.0,1.0,Gold Cup,Miami,United States,True,1,0.5,1465.4965132994507,1500.0,-34.503486700549274
2000-02-14,Jamaica,Honduras,0.0,2.0,Gold Cup,Miami,United States,True,1,0.0,1489.2249503119283,1509.375,-20.150049688071704
2000-02-14,Kuwait,Bhutan,20.0,0.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False,2,1.0,1538.3777233699568,1471.7704838519317,66.60723951802515
2000-02-14,Turkmenistan,Nepal,5.0,0.0,AFC Asian Cup qualification,Kuwait City,Kuwait,True,2,1.0,1488.16575878551,1501.9795161480683,-13.813757362558363
2000-02-15,Trinidad and Tobago,Guatemala,4.0,2.0,Gold Cup,Los Angeles,United States,True,1,1.0,1454.1821992678783,1497.6786923698367,-43.49649310195832
2000-02-15,Chile,Slovakia,0.0,2.0,Friendly,Valparaíso,Chile,False,4,0.0,1495.6021236442496,1494.996932322431,0.6051913218186655
2000-02-15,Malaysia,Maldives,2.0,0.0,Friendly,Kuala Lumpur,Malaysia,False,4,1.0,1492.5,1500.0,-7.5
2000-02-15,Australia,Bulgaria,1.0,1.0,Friendly,Valparaíso,Chile,True,4,0.5,1494.789903580338,1499.7898980847551,-4.999994504417145
